Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
COUNTRY,ABW,Aruba,REGION,AMR,Americas
COUNTRY,AFG,Afghanistan,REGION,EMR,Eastern Mediterranean
COUNTRY,AGO,Angola,REGION,AFR,Africa
COUNTRY,AIA,Anguilla,REGION,AMR,Americas
COUNTRY,ALB,Albania,REGION,EUR,Europe
COUNTRY,AND,Andorra,REGION,EUR,Europe
COUNTRY,ARE,United Arab Emirates,REGION,EMR,Eastern Mediterranean
COUNTRY,ARG,Argentina,REGION,AMR,Americas
COUNTRY,ARM,Armenia,REGION,EUR,Europe
COUNTRY,ASM,American Samoa,REGION,WPR,Western Pacific
COUNTRY,ATG,Antigua and Barbuda,REGION,AMR,Americas
COUNTRY,AUS,Australia,REGION,WPR,Western Pacific
COUNTRY,AUT,Austria,REGION,EUR,Europe
COUNTRY,AZE,Azerbaijan,REGION,EUR,Europe
COUNTRY,BDI,Burundi,REGION,AFR,Africa
COUNTRY,BEL,Belgium,REGION,EUR,Europe
COUNTRY,BEN,Benin,REGION,AFR,Africa
COUNTRY,BES,"Bonaire, Saint Eustatius and Saba",REGION,AMR,Americas
COUNTRY,BFA,Burkina Faso,REGION,AFR,Africa
COUNTRY,BGD,Bangladesh,REGION,SEAR,South-East Asia
COUNTRY,BGR,Bulgaria,REGION,EUR,Europe
COUNTRY,BHR,Bahrain,REGION,EMR,Eastern Mediterranean
COUNTRY,BHS,Bahamas,REGION,AMR,Americas
COUNTRY,BIH,Bosnia and Herzegovina,REGION,EUR,Europe
COUNTRY,BLR,Belarus,REGION,EUR,Europe
COUNTRY,BLZ,Belize,REGION,AMR,Americas
COUNTRY,BMU,Bermuda,REGION,AMR,Americas
COUNTRY,BOL,Bolivia (Plurinational State of),REGION,AMR,Americas
COUNTRY,BRA,Brazil,REGION,AMR,Americas
COUNTRY,BRB,Barbados,REGION,AMR,Americas
COUNTRY,BRN,Brunei Darussalam,REGION,WPR,Western Pacific
COUNTRY,BTN,Bhutan,REGION,SEAR,South-East Asia
COUNTRY,BWA,Botswana,REGION,AFR,Africa
COUNTRY,CAF,Central African Republic,REGION,AFR,Africa
COUNTRY,CAN,Canada,REGION,AMR,Americas
COUNTRY,CHE,Switzerland,REGION,EUR,Europe
COUNTRY,CHI,Channel islands,,,
COUNTRY,CHL,Chile,REGION,AMR,Americas
COUNTRY,CHN,China,REGION,WPR,Western Pacific
COUNTRY,CIV,Cote d'Ivoire,REGION,AFR,Africa
COUNTRY,CMR,Cameroon,REGION,AFR,Africa
COUNTRY,COD,Democratic Republic of the Congo,REGION,AFR,Africa
COUNTRY,COG,Congo,REGION,AFR,Africa
COUNTRY,COK,Cook Islands,REGION,WPR,Western Pacific
COUNTRY,COL,Colombia,REGION,AMR,Americas
COUNTRY,COM,Comoros,REGION,AFR,Africa
COUNTRY,CPV,Cabo Verde,REGION,AFR,Africa
COUNTRY,CRI,Costa Rica,REGION,AMR,Americas
COUNTRY,CUB,Cuba,REGION,AMR,Americas
COUNTRY,CUW,Curaçao,REGION,AMR,Americas
COUNTRY,CYM,Cayman Islands,REGION,AMR,Americas
COUNTRY,CYP,Cyprus,REGION,EUR,Europe
COUNTRY,CZE,Czechia,REGION,EUR,Europe
COUNTRY,DEU,Germany,REGION,EUR,Europe
COUNTRY,DJI,Djibouti,REGION,EMR,Eastern Mediterranean
COUNTRY,DMA,Dominica,REGION,AMR,Americas
COUNTRY,DNK,Denmark,REGION,EUR,Europe
COUNTRY,DOM,Dominican Republic,REGION,AMR,Americas
COUNTRY,DZA,Algeria,REGION,AFR,Africa
COUNTRY,ECU,Ecuador,REGION,AMR,Americas
COUNTRY,EGY,Egypt,REGION,EMR,Eastern Mediterranean
COUNTRY,ERI,Eritrea,REGION,AFR,Africa
COUNTRY,ESP,Spain,REGION,EUR,Europe
COUNTRY,EST,Estonia,REGION,EUR,Europe
COUNTRY,ETH,Ethiopia,REGION,AFR,Africa
COUNTRY,FIN,Finland,REGION,EUR,Europe
COUNTRY,FJI,Fiji,REGION,WPR,Western Pacific
COUNTRY,FLK,Falkland Islands (Malvinas),REGION,AMR,Americas
COUNTRY,FRA,France,REGION,EUR,Europe
COUNTRY,FRO,Faroe Islands,REGION,EUR,Europe
COUNTRY,FSM,Micronesia (Federated States of),REGION,WPR,Western Pacific
COUNTRY,GAB,Gabon,REGION,AFR,Africa
COUNTRY,GBR,United Kingdom of Great Britain and Northern Ireland,REGION,EUR,Europe
COUNTRY,GEO,Georgia,REGION,EUR,Europe
COUNTRY,GHA,Ghana,REGION,AFR,Africa
COUNTRY,GIB,Gibraltar,REGION,EUR,Europe
COUNTRY,GIN,Guinea,REGION,AFR,Africa
COUNTRY,GLP,Guadeloupe,REGION,AMR,Americas
COUNTRY,GMB,Gambia,REGION,AFR,Africa
COUNTRY,GNB,Guinea-Bissau,REGION,AFR,Africa
COUNTRY,GNQ,Equatorial Guinea,REGION,AFR,Africa
COUNTRY,GRC,Greece,REGION,EUR,Europe
COUNTRY,GRD,Grenada,REGION,AMR,Americas
COUNTRY,GRL,Greenland,REGION,EUR,Europe
COUNTRY,GTM,Guatemala,REGION,AMR,Americas
COUNTRY,GUF,French Guiana,REGION,AMR,Americas
