Year,Population requiring PC for LF,Type of MDA,Number of IUs covered,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode,GDP_per_capita,HealthExp_per_capita,Pct_with_improved_sanitation,GDP_lag1,Sanitation_lag1,Urban_Pop_Pct,ODA_per_capita
2000,1600000.0,IVM + ALB,1.0,51722.0,67.17142857142858,3.232625,TGO,409.889802792768,11.22799778,9.60294075298278,,,32.907,69629997.253418
2000,4000000.0,IVM + ALB,15.0,114947.0,23.94729166666667,2.873675,GHA,253.746936203344,16.27483559,6.24573244330994,,,43.929,600650024.414063
2000,80000000.0,IVM + ALB,4.0,159698.0,38.55223325720962,0.1996224999999999,NGA,547.318298903379,17.65198708,27.9946355957726,,,34.84,173800003.051758
2000,11000000.0,IVM + ALB,19.0,37240.0,100.0,0.3385454545454546,TZA,401.698150634766,12.25793076,6.4545572257458,,,22.309,1064250000.0
2001,6015806.0,IVM + ALB,4.0,393677.0,68.48533663631588,6.544044139721262,GHA,263.542156494853,19.207201,6.34852886366336,253.746936203344,6.24573244330994,44.601,644849975.585938
2001,80000000.0,IVM + ALB,13.0,675701.0,32.32680403345295,0.8446262499999999,NGA,566.428231812933,18.48871803,28.0339081146668,547.318298903379,27.9946355957726,35.669,167820007.324219
2001,456250.0,DEC + ALB,2.0,53308.0,85.65047638940214,11.683945205479452,COM,691.699908770798,45.25306702,30.4360322594528,,,28.036,27670000.0762939
2001,1100816.0,IVM + ALB,3.0,342398.0,74.7044205464538,31.104017383468264,TGO,396.692654520135,11.21350384,9.885647726804,409.889802792768,9.60294075298278,33.356,46090000.1525879
2001,12000000.0,IVM + ALB,4.0,431399.0,77.23524398802618,3.5949916666666666,BFA,259.485223380436,7.52252769,10.5063052772592,,,18.54,390940002.441406
2001,34000000.0,IVM + ALB,15.0,955403.0,59.09832349086032,2.810008823529412,TZA,396.638732910156,15.08091736,7.66547439187183,401.698150634766,6.4545572257458,22.674,1274900024.41406
2002,456250.0,DEC + ALB,2.0,245224.0,56.85694412242059,53.747726027397256,COM,762.116930318449,51.05594635,31.0518318596718,691.699908770798,30.4360322594528,27.992,27579999.9237061
2002,1123757.0,IVM + ALB,6.0,556974.0,78.50730490305939,49.5635622292008,TGO,445.238691488925,12.65094852,10.17042045101,396.692654520135,9.885647726804,33.809,51130001.0681152
2002,6015806.0,IVM + ALB,15.0,1223122.0,74.12860606060606,20.331805912624176,GHA,297.46164468774,19.75684166,7.23251503810142,263.542156494853,6.34852886366336,45.275,689369995.117188
2002,12429409.0,IVM + ALB,2.0,733375.0,75.97198036304947,5.900320763440965,UGA,241.984688408335,15.7368412,16.8151542285613,,,15.626,732979980.46875
2002,2987266.0,DEC + ALB,1.0,480900.0,81.19566483699239,16.09833205345624,KEN,402.936385605382,22.33303261,28.7335944914558,,,20.591,388220001.220703
2002,34000000.0,IVM + ALB,19.0,2078204.0,69.22035158355155,6.112364705882353,TZA,402.649047851563,16.92565536,8.88565368804983,396.638732910156,7.66547439187183,23.044,1260430053.71094
2002,12793884.0,IVM + ALB,14.0,1786125.0,68.36779298486827,13.960772193963928,BFA,285.654087637533,8.51982498,11.3937425930332,259.485223380436,10.5063052772592,19.258,440269989.013672
2002,80000000.0,IVM + ALB,26.0,2168355.0,53.72417548874058,2.71044375,NGA,712.164852077686,18.06385422,28.6863473284877,566.428231812933,28.0339081146668,36.508,299549987.792969
2002,3430000.0,IVM + ALB,3.0,224971.0,77.81932520218338,6.558921282798834,BEN,546.463829658159,17.4725647,9.42522879725803,,,39.036,221539993.286133
2003,13116285.0,IVM + ALB,31.0,5504199.0,77.80833548203235,41.96461879259257,BFA,362.373899996953,11.43507481,12.2686574331796,285.654087637533,11.3937425930332,19.996,540840026.855469
2003,3430000.0,IVM + ALB,15.0,678638.0,80.85559636896969,19.78536443148688,BEN,676.002878084282,21.76790237,9.87676965998667,546.463829658159,9.42522879725803,39.536,301989990.234375
2003,1060569.0,IVM + ALB,7.0,855132.0,80.62954885537857,80.62954885537857,TGO,538.16537776929,15.46995354,10.4570598974873,445.238691488925,10.17042045101,34.265,50090000.1525879
2003,80000000.0,IVM + ALB,30.0,3112889.0,71.86794757631537,3.89111125,NGA,763.388745367223,39.0772438,29.3592591376198,712.164852077686,28.6863473284877,37.356,309850006.103516
2003,2987266.0,DEC + ALB,3.0,1153468.0,79.49518639329948,38.61283193394897,KEN,442.898457253405,25.71190262,29.103314991973,402.936385605382,28.7335944914558,20.948,522900024.414063
2003,6000000.0,IVM + ALB,30.0,2681404.0,70.98378605041233,44.69006666666667,GHA,358.39927142073,23.23123741,8.13639297693297,297.46164468774,7.23251503810142,45.951,985039978.027344
2003,545537.0,DEC + ALB,3.0,374556.0,68.65822116556714,68.65822116556714,COM,959.787894504834,63.81992722,31.6201289990803,762.116930318449,31.0518318596718,27.947,24610000.6103516
2003,34000000.0,IVM + ALB,24.0,2335561.0,60.45562497007065,6.86929705882353,TZA,422.18359375,20.26038742,10.1362371194278,402.649047851563,8.88565368804983,23.611,1725760009.76563
2003,12429409.0,IVM + ALB,0.0,0.0,0.0,0.0,UGA,250.71543664681,14.2323103,17.0321532501804,241.984688408335,16.8151542285613,16.061,1003710021.97266
2004,13194581.0,IVM + ALB,37.0,6239697.0,74.27177982870953,47.28984573288079,BFA,403.81283743461,17.09873199,13.1317299489599,362.373899996953,12.2686574331796,20.757,647380004.882813
2004,545537.0,DEC + ALB,3.0,397314.0,77.6921948787141,72.82989054821213,COM,1091.27216412426,70.50469971,32.1413169353801,959.787894504834,31.6201289990803,27.903,25879999.1607666
