Year,"Population requiring PC for STH, Pre-SAC",Number of Pre-SAC targeted,Reported number of Pre-SAC treated,"Drug combination, Pre-SAC","Programme coverage, Pre-SAC (%)","National coverage, Pre-SAC (%)","Population requiring PC for STH, SAC",Number of SAC targeted,Reported number of SAC treated,"Drug combination, SAC","Programme coverage, SAC (%)","National coverage, SAC (%)",CountryCode
2003,2261092,,,, ,,4387137,,,, ,,AGO
2003,5055559,,,, ,,9994445,,730101.0,"Ivm+Alb, Alb/Mbd", ,7.3050679652546995,TZA
2003,4148886,,,, ,,7996588,,7123984.0,Alb/Mbd, ,89.08779594497052,UGA
2003,1828777,,,, ,,3580694,,1586117.0,"Ivm+Alb, Pzq+Alb", ,44.29635707491341,BFA
2003,701422,,,, ,,1502685,,230886.0,Ivm+Alb, ,15.364896834665949,TGO
2003,838594,,,, ,,1963000,,,, ,,BDI
2003,4111492,,,, ,,9985407,,,, ,,ZAF
2003,2098839,,,, ,,4486740,,,, ,,CMR
2003,628108,,,, ,,1197559,,142768.0,Alb/Mbd, ,11.921583821757425,SLE
2003,1431540,,,, ,,2983083,,218320.0,Mbd, ,7.318602935285408,SEN
2003,498013,,,, ,,1018658,,,, ,,CAF
2003,1355000,,,, ,,2571728,,27000.0,Pzq+Mbd, ,1.0498777475689498,TCD
2003,1123290,,,, ,,2333798,,,, ,,RWA
2003,67117,,33710.0,Dec+Alb, ,50.22572522609771,142805,,97385.0,Dec+Alb, ,68.19439095269773,COM
2003,17757032,,,, ,,35526020,,840480.0,Ivm+Alb, ,2.365815253158108,NGA
2003,1907740,,,, ,,3483230,,,, ,,NER
2003,2268648,,,, ,,4747928,,,, ,,CIV
2003,2719782,,,, ,,5191490,,53895.0,, ,1.0381412658023033,MOZ
2003,8381396,,,, ,,15883949,,,, ,,COD
2003,344754,,,, ,,729259,,41508.0,Pzq+Mbd, ,5.69180496915362,MRT
2003,1523643,,,, ,,3110863,,206644.0,"Alb/Mbd, Pzq+Mbd", ,6.642658323429865,MLI
2003,1883030,,,, ,,3632444,,161397.0,Alb/Mbd, ,4.443206832644908,MWI
2003,125378,,,, ,,318321,,,, ,,SWZ
2003,2256397,,,, ,,4601667,,,, ,,MDG
2003,9640744,,,, ,,19920856,,3000.0,Alb/Mbd, ,0.015059593824683,ETH
2003,220361,,,, ,,522762,,,, ,,LSO
2003,4361735,,115347.0,Dec+Alb, ,2.644521044951149,9074693,,391015.0,"Dec+Alb, Pzq+Mbd", ,4.308850999146748,KEN
2003,190870,,,, ,,374835,,47000.0,Alb/Mbd, ,12.538850427521442,GMB
2003,186742,,,, ,,354669,,69000.0,Alb/Mbd, ,19.4547592262081,GNB
2003,2443103,,,, ,,5352777,,670351.0,Ivm+Alb, ,12.523424756906556,GHA
2003,992079,,,, ,,1986540,,183232.0,Ivm+Alb, ,9.22367533500458,BEN
2003,1603227,,1537583.0,Alb/Mbd, ,95.9055080783944,3081432,,2512311.0,Alb/Mbd, ,81.5306325111182,ZMB
2003,1178344,,,, ,,2371484,,,, ,,GIN
2004,2802143,,,, ,,5336459,,105085.0,Alb/Mbd, ,1.9691896817721264,MOZ
2004,2146277,,,, ,,4544792,,6200.0,Pzq+Alb, ,0.1364198845623738,CMR
2004,9771190,,188981.0,Mbd, ,1.9340633024227345,20414282,,30819.0,"Alb/Mbd, Pzq+Alb", ,0.1509678371250088,ETH
2004,195201,,,, ,,388257,,45274.0,Alb/Mbd, ,11.66083290191806,GMB
2004,2290724,,2000000.0,Mbd, ,87.30864128546258,4735066,,,, ,,MDG
2004,351243,,,, ,,743852,,39378.0,Pzq+Mbd, ,5.293795002231627,MRT
2004,1458930,,,, ,,3048458,,218320.0,Mbd, ,7.161653531063903,SEN
2004,4504292,,,, ,,9206475,,163362.0,Alb/Mbd, ,1.7744250649678623,KEN
2004,1401843,,,, ,,2663493,,,, ,,TCD
2004,845387,,226377.0,Alb, ,26.777913547286623,1967245,,1724937.0,Alb, ,87.6828763067132,BDI
2004,125200,,,, ,,315470,,,, ,,SWZ
2004,712226,,935000.0,Alb/Mbd, ,100.0,1531195,,240136.0,Ivm+Alb, ,15.682914325085962,TGO
2004,5214007,,4962605.0,Alb/Mbd, ,95.1783340528695,10235517,,1240877.0,"Ivm+Alb, Alb/Mbd", ,12.123246925387354,TZA
2004,659403,,,, ,,1250312,,242047.0,Mbd, ,19.358928011568317,SLE
2004,1195661,,,, ,,2409986,,30718.0,Mbd, ,1.2746132135207424,GIN
2004,4273815,,3211114.0,Alb, ,75.13460456290223,8258917,,4800274.0,"Ivm+Alb, Pzq+Alb", ,58.12231797462064,UGA
2004,1643351,,1174919.0,Alb/Mbd, ,71.49531658178928,3170682,,,, ,,ZMB
2004,2314963,,,, ,,4845754,,37657.0,Pzq+Mbd, ,0.7771133243660325,CIV
2004,2476062,,,, ,,5432752,,1187331.0,"Ivm+Alb, Alb/Mbd", ,21.855056148338814,GHA
2004,219914,,,, ,,525154,,16728.0,Alb, ,3.185351344557977,LSO
2004,1917849,,,, ,,3778877,,389996.0,"Alb/Mbd, Pzq+Mbd", ,10.320420590561694,MWI
2004,1981183,,,, ,,3614907,,155421.0,Pzq+Alb, ,4.299446707757626,NER
2004,1886599,,,, ,,3682039,,2857097.0,"Ivm+Alb, Pzq+Alb", ,77.59551161734028,BFA
2004,4139043,,229963.0,Alb/Mbd, ,5.555946145038841,9981493,,,, ,,ZAF
2004,504461,,,, ,,1037979,,25536.0,Pzq+Alb, ,2.460165379068363,CAF
2004,191125,,,, ,,365752,,124537.0,Alb/Mbd, ,34.04957457512194,GNB
2004,1018415,,,, ,,2047554,,299562.0,Ivm+Alb, ,14.630236858222052,BEN
2004,1151958,,,, ,,2309939,,,, ,,RWA
2004,18127250,,,, ,,36283745,,873800.0,Ivm+Alb, ,2.4082409354381693,NGA
2004,68705,,35758.0,Dec+Alb, ,52.04570264172913,144691,,103302.0,Dec+Alb, ,71.3949036222018,COM
2004,2321271,,,, ,,4501674,,,, ,,AGO
2004,8607623,,,, ,,16367506,,4997.0,Alb/Mbd, ,0.0305300025550624,COD
2004,1557143,,,, ,,3166472,,153754.0,Alb/Mbd, ,4.855687970713147,MLI
2005,1958388,,,, ,,3784324,,2938175.0,Ivm+Alb, ,77.64068298591769,BFA
2005,199348,271718.0,217374.0,Alb/Mbd,79.99985278855284,100.0,401394,,21000.0,Pzq+Mbd, ,5.231767290990897,GMB
2005,1489726,1705654.0,1725845.0,Alb/Mbd,101.1837688065692,100.0,3112876,,269945.0,Pzq+Mbd, ,8.671884135442594,SEN
2005,,,,, ,,3784324,,2295557.0,Pzq+Alb, ,60.65963168058549,BFA
2005,440409,714319.0,570085.0,Alb/Mbd,79.80818093876826,100.0,891422,,,, ,,LBR
2005,855461,,251810.0,Alb, ,29.43559086854924,1971622,,2161695.0,Alb, ,100.0,BDI
2005,4653083,,121323.0,Dec+Alb, ,2.6073680611328016,9367473,,415440.0,"Dec+Alb, Pzq+Alb", ,4.434920709138954,KEN
2005,722691,1132158.0,1092556.0,Alb,96.50207833182294,100.0,1560429,,250228.0,Ivm+Alb, ,16.035846552454487,TGO
2005,195356,,,, ,,376608,,131225.0,Mbd, ,34.84392259325346,GNB
2005,2874230,,,, ,,5495012,,6341.0,Pzq+Alb, ,0.1153955623754779,MOZ
2005,357551,,,, ,,758613,,,, ,,MRT
2005,2196887,,,, ,,4607571,,,, ,,CMR
2005,687326,,,, ,,1303287,,412076.0,Mbd, ,31.618208422243143,SLE
2005,2509980,,,, ,,5509251,,1478115.0,"Ivm+Alb, Alb/Mbd", ,26.82969064215807,GHA
2005,8811925,10061869.0,8170761.0,Mbd - round 2,81.20520153860083,92.72390538957151,,,,, ,,COD
2005,8811925,10178256.0,7661552.0,Mbd - round 1,75.27372076316414,86.94527018784204,16855786,,,, ,,COD
2005,4158577,,,, ,,9988168,,,, ,,ZAF
2005,2359639,,,, ,,4947404,,51557.0,Pzq+Mbd, ,1.0421020802020615,CIV
2005,219324,,,, ,,527136,,106682.0,Alb, ,20.238041036848177,LSO
2005,2374930,,1681516.0,Alb, ,70.80276050241481,4619337,,,, ,,AGO
2005,1593616,,,, ,,3224377,,2639225.0,"Ivm+Alb, Alb/Mbd, Pzq+Mbd, Pzq+Alb", ,81.85224618585234,MLI
2005,4404797,,,, ,,8523354,,4036204.0,"Ivm+Alb, Pzq+Alb", ,47.35464466218345,UGA
2005,1682495,,1198122.0,Alb/Mbd, ,71.21102885892677,3262874,,859200.0,"Pzq+Alb, Alb", ,26.33261351802123,ZMB
2005,70435,,,, ,,146891,,,, ,,COM
2005,1183829,,883283.0,Mbd, ,74.61238067322223,2309841,,,, ,,RWA
2005,2324044,,2875425.0,"Dec+Alb, Mbd", ,100.0,4863203,,181147.0,"Dec+Alb, Mbd", ,3.724849651556803,MDG
2005,18290,,,, ,,40340,,12749.0,Alb/Mbd, ,31.603867129400097,STP
2005,1445328,,,, ,,2753849,,,, ,,TCD
2005,9917974,697601.0,669626.0,Alb/Mbd,95.9898279962328,6.751641010553164,20876467,,4978902.0,Alb/Mbd, ,23.84935152102125,ETH
2005,2067069,,,, ,,3750927,,1233538.0,Pzq+Alb, ,32.88621719377636,NER
2005,125181,,,, ,,312820,,221591.0,Alb, ,70.83658333866121,SWZ
2005,1046197,,,, ,,2108761,,409452.0,Ivm+Alb, ,19.41670962238016,BEN
