CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,13.00008678,28.92523384,29.05480003,34.8696785,49.77629852,54.21235657,69.76922607,92.84111786,135.63153076,120.0315094,96.66415405,121.91368866,121.79575348,142.88616943,130.74234009,107.64356232,94.1061554,112.85147095,83.89920044,64.65779114,55.05102158,64.16342163,64.16342163
BDI,5.82561302,7.70397997,6.6404686,6.02923203,9.11969662,11.43010426,14.48706532,15.68034935,15.07347488,18.82117844,25.12049484,23.81056213,20.57489777,20.8417263,18.59082222,18.2036705,19.16795921,19.77140808,19.27294159,22.95755196,27.07072449,24.26920891,24.26920891
BEN,14.88457298,16.79668045,17.4725647,21.76790237,25.34852219,25.97800064,27.52271461,27.74564934,29.14166451,30.67226219,30.38452339,32.9503212,34.21852112,34.83580017,33.67948914,28.41767883,29.34768677,29.22344017,34.44770432,29.37922096,30.64243507,35.12914658,35.12914658
BFA,7.36981916,7.52252769,8.51982498,11.43507481,17.09873199,17.50115776,20.64653969,27.04532623,28.90426254,30.68659401,32.8663559,33.8243866,33.78236771,42.40937042,38.37065506,32.44025803,39.64500427,43.07155609,39.00283813,41.07073212,54.17696762,56.95098114,56.95098114
BWA,200.98800659,197.28829956,200.33074951,262.04077148,288.94662476,273.51931763,250.76968384,296.56552124,315.27059937,326.95220947,378.646698,415.58108521,405.96008301,418.32351685,402.45758057,358.22320557,369.84204102,444.55603027,419.6545105,408.89602661,358.90551758,457.46298218,457.46298218
CAF,9.8634491,9.26134109,10.61978436,13.00553608,13.72547722,14.66589355,15.91440105,18.94978714,18.67624855,21.82637405,16.40023994,18.9371357,20.60425186,16.78926849,18.02748299,17.71483231,20.25914001,27.64416504,49.17564392,33.9444313,40.11012268,42.92785645,42.92785645
CIV,54.16062546,54.03316116,57.24786377,64.14105988,67.6804657,62.34985352,60.48682404,64.6838913,75.87518311,72.83110809,71.98825836,72.44979095,74.48454285,71.52493286,79.31149292,62.51667023,66.39353943,68.61872864,70.97071075,73.64801788,85.17427826,81.86914825,81.86914825
CMR,28.79333305,27.46539497,31.41914558,38.10652161,41.7527771,42.60778809,44.01630783,48.61966705,53.99885559,50.604702,49.50485611,57.71255493,56.3600235,56.61405563,61.80369186,50.31904221,51.2496109,50.27867889,57.7002182,56.18640518,58.0969696,63.78601837,63.78601837
COD,18.20225716,5.65382099,4.34459352,6.27501249,8.14487171,8.88715935,10.77356529,11.98260307,15.89509487,13.18276978,12.53950882,12.27988434,13.62572193,15.86667633,18.79024887,19.13417244,19.91032028,18.74936485,17.87852287,19.85771751,21.25385666,22.32123756,22.32123756
COG,17.44675827,20.41893959,17.09034348,21.64731407,27.67554474,31.10122681,36.16910553,42.22277832,63.7890892,48.9272995,54.86231995,59.84463501,71.6878891,72.29035187,71.47676086,57.67850113,54.67388153,52.68054199,47.67589569,58.90272522,80.80835724,80.5149231,80.5149231
COM,47.50006104,45.25306702,51.05594635,63.81992722,70.50469971,67.78135681,65.70906067,69.87508392,73.73594666,69.42589569,69.0898819,80.95452881,76.77297974,81.4433136,84.27106476,60.86703491,63.14864731,74.52148438,74.43584442,77.80075073,88.67053223,99.03723907,99.03723907
CPV,58.89910889,62.78510284,68.21862793,83.48031616,92.04717255,94.58552551,111.28134918,125.57421875,125.53510284,127.79914856,142.87771606,152.28347778,167.49281311,181.29548645,181.44195557,139.48536682,144.32522583,165.03762817,178.77836609,171.77171326,196.26963806,247.90794373,247.90794373
DZA,62.11769485,67.33850098,66.94760132,76.23547363,93.02433014,101.30373383,117.43313599,151.77920532,207.84881592,208.93501282,230.06391907,288.31332397,336.67266846,333.16027832,361.15942383,292.275177,261.40023804,265.83843994,266.46469116,235.99041748,206.03512573,204.56661987,204.56661987
ERI,13.1751833,13.99944115,14.81900692,18.62379265,21.77468681,20.60617447,22.31639481,18.39959717,19.69238472,22.65766335,24.43300056,33.27035522,25.96233749,29.52669525,31.54170799,26.82466125,23.64590836,22.35861588,24.02440262,25.98394394,24.70353127,25.36040497,25.36040497
ETH,5.31966591,5.54697561,5.19038343,5.76164436,5.79775095,6.55709887,8.53116226,11.78915215,13.22203732,15.36375141,16.40672684,14.83500671,20.28753662,19.53577042,21.90294838,23.53430557,24.67317772,24.51061249,23.84538269,26.22917175,28.69671059,26.47735214,26.47735214
GAB,123.33141327,121.066185,132.21743774,166.88827515,182.61399841,190.27209473,212.61395264,254.19885254,271.5098877,283.02966309,207.93783569,262.77456665,226.32527161,262.78244019,234.42152405,188.42417908,208.90524292,193.97592163,211.22572327,208.28834534,228.02458191,233.87103271,233.87103271
GHA,16.27483559,19.207201,19.75684166,23.23123741,25.61305428,39.75449371,45.96789932,54.75652313,61.90890884,61.81399536,71.6121521,95.87026215,83.48946381,104.81430817,78.03632355,77.74266815,64.43041229,74.56986237,82.98774719,93.18772125,87.4445343,100.00096893,100.00096893
GIN,23.00282097,22.04349136,25.15307426,25.93502045,26.76063919,19.94359016,16.35091019,22.80706406,23.25375366,24.00493431,22.8732872,24.42393684,23.99205208,26.22439003,37.0862999,43.94221497,38.91920853,33.02272034,35.30637741,42.68258667,41.6195488,44.68689728,44.68689728
GMB,46.73692703,38.21402359,36.57312012,28.66201591,32.3373642,33.33732224,33.49129486,35.92889786,39.97063065,34.4699173,32.81699753,30.82727623,29.30704689,25.33724403,17.14346313,19.42744446,20.47114944,21.2003746,22.84936142,22.83255005,26.24802017,24.62883568,24.62883568
GNB,13.3205328,14.86868,14.40980339,14.86718845,18.48643875,21.1059761,22.80813217,26.1655159,34.93793869,27.59508705,31.5948391,44.70295334,37.72527695,46.01106644,64.91837311,52.38645935,56.52604294,54.74217224,58.78644943,54.0177002,68.04572296,68.81868744,68.81868744
GNQ,18.72773552,27.99723434,75.52088928,87.19217682,104.68054199,122.74163055,144.0280304,179.56561279,222.33100891,255.58073425,241.66999817,266.68746948,284.08352661,289.67935181,294.76089478,229.11935425,229.76306152,231.0456543,248.69200134,231.83953857,246.76673889,255.56524658,255.56524658
KEN,21.40411377,22.14061928,22.33303261,25.71190262,27.75096512,31.13827515,41.07886505,50.38684845,55.4166069,55.28591537,58.93074799,57.18780136,64.72195435,67.89151001,73.19489288,71.3065033,74.26567078,66.80448151,75.6592865,86.06783295,86.67868805,94.67254639,94.67254639
LBR,8.5820322,6.90986061,7.02600765,6.16011524,18.20792198,20.64465714,19.4780159,16.01202202,26.55882072,52.30115128,50.63946533,54.34541321,50.35652542,48.74785614,59.98974228,70.18363953,68.4992981,72.50897217,69.10813904,52.02645493,101.29130554,112.27044678,112.27044678
LSO,23.77390099,28.24092102,23.1813736,31.89407539,40.89277649,41.15412903,48.88100433,64.80230713,68.08209991,79.68589783,87.4557724,117.34723663,124.85530853,130.44207764,120.47213745,104.40470886,90.88587189,115.20778656,130.57113647,130.44073486,96.7264328,114.70881653,114.70881653
MDG,11.3951807,13.39314079,15.31476879,17.98666191,14.57165813,16.26181221,16.76423645,19.71751213,21.33732986,19.96823883,21.57974052,23.37224197,19.71853828,19.75903702,23.07670021,22.81040573,24.77560616,24.17928314,21.67276382,15.88729572,17.21605492,17.64008904,17.64008904
MLI,14.40365124,13.53196239,16.34092712,19.29068756,22.3169117,24.62482452,27.65656662,30.42856026,34.10325623,35.57579422,32.20446396,32.52751923,28.26848984,30.89883041,36.67969894,29.7465477,28.3053112,29.23488998,31.96352005,32.17400742,28.85294724,40.1202507,40.1202507
MOZ,6.96425152,8.52990627,9.95218277,11.15465164,14.22916508,18.49229622,18.09505653,19.3034668,24.26328468,27.63411713,26.17583847,30.28253746,35.03115845,41.17826843,43.08488846,39.91206741,31.38208961,36.26471329,40.8117218,40.41284943,34.37060928,44.52215576,44.52215576
MRT,22.3067379,22.58142662,25.20564651,28.68665123,30.64061928,33.17791367,34.37842178,39.64344025,48.52267838,44.13393021,43.3949852,47.4840889,49.02023697,55.34606934,59.37288666,57.40904617,48.89683914,54.19649506,55.62037659,60.7460022,63.2988472,89.28845215,89.28845215
MUS,115.9647522,116.41130829,132.39851379,157.65351868,184.65751648,192.0113678,203.08328247,229.03910828,312.62826538,301.46151733,357.00109863,385.77191162,387.2303772,440.10235596,544.39526367,515.37243652,539.51226807,594.62731934,641.56152344,670.97399902,569.434021,564.90075684,564.90075684
MWI,8.91786003,7.48628187,11.26511002,12.41096115,16.05879211,17.35436821,21.07893753,25.1716423,32.93960953,35.80582047,34.2412796,39.60096741,32.80570221,39.87806702,35.64556885,35.27587891,34.32816696,37.93450165,36.97562408,41.78248596,42.5414238,46.55551147,46.55551147
NAM,200.05258179,185.71792603,173.69114685,257.41162109,347.8963623,375.39160156,410.32162476,465.08157349,413.3742981,386.20196533,522.15911865,569.14294434,557.58959961,495.19512939,466.1987915,495.62979126,430.21606445,475.58203125,472.99014282,432.14578247,378.42468262,456.43600464,456.43600464
NER,8.95671749,9.59174156,10.75085354,12.44939899,13.95743465,18.53794861,19.78735733,20.83684349,24.71139526,24.40502357,23.33815765,24.68768311,22.56604767,24.43749619,24.89271736,25.72568893,22.42886543,28.69141388,30.08619118,31.21994209,34.85019302,34.34204865,34.34204865
NGA,17.65198708,18.48871803,18.06385422,39.0772438,44.16435242,53.92662048,65.7237854,69.15039063,80.09986115,68.00685883,75.58924866,83.10647583,91.06047821,100.81700897,106.11964417,96.28328705,78.23602295,72.77430725,65.70272064,69.68148041,69.76184845,83.84061432,83.84061432
RWA,9.1193943,7.92787647,7.34832239,17.29731369,20.29362106,25.10174942,27.24308205,33.58434677,40.0471344,44.08419418,48.02530289,51.65081787,57.216465,47.7094574,50.62351608,48.80509567,50.70415497,48.34190369,51.54394531,51.18757629,57.91234207,60.2185936,60.2185936
SEN,21.99825287,24.10787964,27.20366478,36.11049652,43.03009415,36.86376953,39.08563995,41.32680893,49.78118515,50.8613205,51.81986618,58.30465698,56.95115662,61.02893066,62.2051239,54.20389557,54.93520355,57.67406845,65.77828217,65.75260925,76.77999878,71.22032928,71.22032928
SLE,17.18489456,18.7846756,22.93144798,21.89597321,22.70127487,26.26749039,29.28122711,30.97717667,36.24853897,37.96392822,36.55500031,47.91463089,50.08378601,81.8790741,138.29064941,114.16482544,81.37689209,45.5368042,43.07834244,46.25284195,46.01692963,43.1619873,43.1619873
SSD,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,27.0063858,30.23945427,34.9889183,47.67607498,32.67995834,32.67995834
STP,56.13910675,53.05221176,57.02854919,78.68141174,79.00400543,89.38618469,66.81880188,69.87314606,77.46207428,76.35579681,74.38393402,84.74559784,86.12266541,124.09713745,118.93055725,84.50744629,109.2252121,116.49388123,108.28024292,106.26776123,158.96191406,186.10397339,186.10397339
